Timestamp;Test mode;Model;Process_time(s);Accuracy (%);Num Epochs
2025-07-24/16:55:02;zero;gemma2_trained_60;58.3010875;94.12;6.0
2025-07-24/16:56:23;zero;gemma2_trained_180;58.64677099999972;95.1;4.0
2025-07-24/16:57:43;zero;gemma2_trained_240;57.29877769999803;92.16;4.0
2025-07-24/16:59:03;zero;gemma2_trained_300;57.96756720000121;94.12;4.0
2025-07-24/17:00:24;zero;gemma2_trained_360;58.70145999999659;94.12;4.0
2025-07-24/17:07:18;zero;gemma3n_e2b_it;372.6288760999996;91.18;
2025-07-24/17:10:27;zero;gemma3n_e2b_it_trained_60;155.38868709999952;93.14;6.0
2025-07-24/17:13:28;zero;gemma3n_e2b_it_trained_180;151.22809870000128;97.06;5.0
2025-07-24/17:16:27;zero;gemma3n_e2b_it_trained_240;150.2739856999979;94.12;4.0
2025-07-24/17:19:24;zero;gemma3n_e2b_it_trained_300;149.8814523000001;96.08;4.0
2025-07-24/17:22:20;zero;gemma3n_e2b_it_trained_360;148.71684529999766;96.08;4.0
2025-07-24/20:46:38;zero;gemma3_1b_trained_60;73.14533159999701;97.06;7.0
2025-07-24/20:49:20;zero;gemma3_1b_trained_60;74.27295610000147;97.06;7.0
2025-07-24/20:57:36;few;gemma3_1b;50.10716040000261;93.14;
2025-07-24/20:58:44;def;gemma3_1b;48.49310020000121;82.35;
2025-07-24/20:59:58;def-few;gemma3_1b;53.96917370000301;85.29;
2025-07-24/21:01:36;few;gemma2;62.89959090000048;92.16;
2025-07-24/21:03:04;def;gemma2;66.69383139999991;94.12;
2025-07-24/21:04:38;def-few;gemma2;72.3453051999968;95.1;
2025-07-24/21:10:26;few;gemma3n_e2b_it;306.5388339000056;87.25;
2025-07-24/21:16:03;def;gemma3n_e2b_it;289.8128332000051;88.24;
2025-07-24/21:22:14;def-few;gemma3n_e2b_it;340.0225711000021;90.2;
2025-07-24/21:23:37;zero;gemma3_1b;54.01170920000004;89.22;
2025-07-24/21:30:52;paraph;gemma3_1b;411.0407025999957;90.2;
2025-07-24/21:35:29;zero;gemma3_1b_trained_60;70.38586090000172;97.06;7.0
2025-07-24/21:44:17;paraph;gemma3_1b_trained_60;505.5429780999984;96.08;7.0
2025-07-24/21:45:48;zero;gemma2;56.530724800002645;91.18;
2025-07-24/21:53:13;paraph;gemma2;421.4552395999999;91.18;
2025-07-24/21:57:36;zero;gemma2_trained_60;61.20561280000402;94.12;6.0
2025-07-24/22:05:28;paraph;gemma2_trained_60;434.04290980000223;94.12;6.0
2025-07-24/22:07:58;zero;gemma3n_e2b_it;107.41936089999945;91.18;
2025-07-24/22:16:14;paraph;gemma3n_e2b_it;465.2030453999978;90.2;
2025-07-24/22:26:04;zero;gemma3n_e2b_it_trained_60;311.28952809999464;94.12;6.0
2025-07-24/22:42:11;paraph;gemma3n_e2b_it_trained_60;914.0034994000016;95.1;6.0
2025-07-24/22:52:29;paraph;gemma3n_e2b_it_trained_60;583.8280851000018;95.1;6.0
2025-07-25/00:08:57;zero;gemma3_1b;54.36623200000031;89.22;
2025-07-25/00:13:48;zero;gemma3_1b_trained_60;78.2051352999988;97.06;7.0
2025-07-25/00:20:15;zero;gemma3_1b_trained_180;71.40224630000012;95.1;5.0
2025-07-25/00:26:54;zero;gemma3_1b_trained_240;71.65399810000235;97.06;4.0
2025-07-25/00:34:16;zero;gemma3_1b_trained_300;69.65473129999737;96.08;4.0
2025-07-25/00:42:32;zero;gemma3_1b_trained_360;71.23431080000591;97.06;4.0
2025-07-25/00:44:03;zero;gemma2;56.3367608999979;91.18;
2025-07-25/00:48:25;zero;gemma2_trained_60;61.43281079999724;93.14;6.0
2025-07-25/00:54:17;zero;gemma2_trained_180;62.12991829999373;94.12;4.0
2025-07-25/01:00:54;zero;gemma2_trained_240;60.807523700001184;92.16;4.0
2025-07-25/01:08:28;zero;gemma2_trained_300;62.22733159999916;95.1;4.0
2025-07-25/01:16:53;zero;gemma2_trained_360;61.793097300003865;95.1;4.0
2025-07-25/01:19:23;zero;gemma3n_e2b_it;106.50348060000395;91.18;
2025-07-25/01:26:04;zero;gemma3n_e2b_it_trained_60;149.4399315999981;93.14;6.0
2025-07-25/09:17:35;zero;gemma3n_e2b_it_trained_60;177.52938570000697;94.12;6.0
2025-07-25/09:27:54;zero;gemma3n_e2b_it_trained_180;149.0631840999995;97.06;5.0
2025-07-25/09:55:09;zero;gemma3n_e2b_it_trained_240;150.03060430000187;97.06;4.0
2025-07-25/10:24:00;zero;gemma3n_e2b_it_trained_300;150.24156819999916;93.14;4.0
2025-07-25/11:05:54;zero;gemma3n_e2b_it_trained_360;182.511164800002;94.12;4.0
2025-07-25/12:18:06;few;gemma3_1b;105.0431037;92.65;
2025-07-25/12:20:04;def;gemma3_1b;96.02294859999996;82.84;
2025-07-25/12:22:13;def-few;gemma3_1b;108.3110868;84.31;
2025-07-25/12:24:53;few;gemma2;125.213394;89.22;
2025-07-25/12:27:57;def;gemma2;132.7408729;94.61;
2025-07-25/12:30:44;def-few;gemma2;145.40946509999992;95.1;
2025-07-25/12:34:14;few;gemma3n_e2b_it;166.22969000000012;85.78;
2025-07-25/12:37:26;def;gemma3n_e2b_it;146.1580328;86.27;
2025-07-25/12:40:44;def-few;gemma3n_e2b_it;153.10490679999998;86.27;
2025-07-25/12:42:59;zero;gemma3_1b;108.3215795000001;89.71;
2025-07-25/12:57:06;paraph;gemma3_1b;822.8194641;90.2;
2025-07-25/12:59:51;zero;gemma3_1b_trained_60;144.6694391000001;95.59;7.0
2025-07-25/13:17:01;paraph;gemma3_1b_trained_60;1006.9136166000004;94.61;7.0
2025-07-25/13:19:28;zero;gemma2;112.49994890000016;89.22;
2025-07-25/13:34:09;paraph;gemma2;854.6418956000002;88.24;
2025-07-25/13:36:31;zero;gemma2_trained_60;117.10006750000048;94.61;6.0
2025-07-25/13:51:35;paraph;gemma2_trained_60;878.3635398000006;95.1;6.0
2025-07-25/13:54:34;zero;gemma3n_e2b_it;137.77489400000013;88.73;
2025-07-25/14:08:03;paraph;gemma3n_e2b_it;760.8333698000006;87.25;
2025-07-25/14:11:58;zero;gemma3n_e2b_it_trained_60;188.93189619999976;92.65;6.0
2025-07-25/14:27:52;paraph;gemma3n_e2b_it_trained_60;905.5440393;92.16;6.0
2025-07-25/14:43:46;paraph;gemma3n_e2b_it_trained_60;901.7809276000008;92.16;6.0
2025-07-25/14:46:00;zero;gemma3_1b;106.96283030000086;89.71;
2025-07-25/14:48:45;zero;gemma3_1b_trained_60;144.2568852000004;95.59;7.0
2025-07-25/14:51:27;zero;gemma3_1b_trained_180;141.18921219999902;93.14;5.0
2025-07-25/14:54:13;zero;gemma3_1b_trained_240;145.82033239999873;94.61;4.0
2025-07-25/14:56:56;zero;gemma3_1b_trained_300;142.2276736999993;94.61;4.0
2025-07-25/14:59:40;zero;gemma3_1b_trained_360;142.7279108999992;94.12;4.0
2025-07-25/15:02:06;zero;gemma2;111.8104669000004;89.22;
2025-07-25/15:04:25;zero;gemma2_trained_60;116.69853180000064;94.61;6.0
2025-07-25/15:06:44;zero;gemma2_trained_180;116.32404940000016;94.61;4.0
2025-07-25/15:09:02;zero;gemma2_trained_240;115.68503729999976;94.12;4.0
2025-07-25/15:11:22;zero;gemma2_trained_300;116.7447495999986;94.61;4.0
2025-07-25/15:13:42;zero;gemma2_trained_360;118.2083763999999;95.1;4.0
2025-07-25/15:16:41;zero;gemma3n_e2b_it;136.92738260000078;88.73;
2025-07-25/15:20:34;zero;gemma3n_e2b_it_trained_60;187.32036479999988;92.65;6.0
2025-07-25/15:24:24;zero;gemma3n_e2b_it_trained_180;184.8205595999989;96.08;5.0
2025-07-25/15:28:14;zero;gemma3n_e2b_it_trained_240;185.40803039999992;94.61;4.0
2025-07-25/15:32:04;zero;gemma3n_e2b_it_trained_300;185.02888750000056;91.18;4.0
2025-07-25/15:35:55;zero;gemma3n_e2b_it_trained_360;185.7310741000001;94.12;4.0
2025-07-29/11:30:39;zero;gemma3_1b;109.06659549999996;89.71;
2025-07-29/11:41:57;zero;gemma3_1b_trained_60;145.63619010000002;96.08;7.0
2025-07-29/11:49:30;zero;gemma3_1b_trained_180;143.85454219999974;94.61;5.0
2025-07-29/11:57:14;zero;gemma3_1b_trained_240;143.90371790000063;95.1;4.0
2025-07-29/12:05:52;zero;gemma3_1b_trained_300;143.1122177999996;94.61;4.0
2025-07-29/12:15:21;zero;gemma3_1b_trained_360;140.6810161000003;93.14;4.0
2025-07-29/12:17:48;zero;gemma2;112.16740500000014;89.22;
2025-07-29/12:23:15;zero;gemma2_trained_60;122.8605964999997;95.1;6.0
2025-07-29/12:30:21;zero;gemma2_trained_180;124.20205709999937;97.06;4.0
2025-07-29/12:38:15;zero;gemma2_trained_240;123.25984310000058;95.1;4.0
2025-07-29/12:46:53;zero;gemma2_trained_300;123.10085319999962;94.61;4.0
2025-07-29/12:56:37;zero;gemma2_trained_360;122.70629030000056;95.1;4.0
2025-07-29/13:00:06;zero;gemma3n_e2b_it;164.22946930000035;88.73;
2025-07-29/13:07:51;zero;gemma3n_e2b_it_trained_60;189.5526174000006;92.65;6.0
2025-07-29/13:28:58;zero;gemma3n_e2b_it_trained_180;187.3438611000001;93.14;4.0
2025-07-29/13:52:50;zero;gemma3n_e2b_it_trained_240;189.4832872999996;93.63;4.0
2025-07-29/14:26:01;zero;gemma3n_e2b_it_trained_300;186.42967489999864;94.12;4.0
2025-07-29/15:01:00;zero;gemma3n_e2b_it_trained_360;210.40992019999976;94.61;4.0
2025-07-31/11:51:50;zero;gemma3_1b;109.92477390000022;89.71;
2025-07-31/12:01:14;zero;gemma3_1b_trained_60;142.87782210000023;94.61;7.0
