Timestamp;Test mode;Model;Process_time(s);train_accuracy;Num Epochs;Eval Loss;Train Loss;eval_accuracy
2025-08-14/12:27:16;zero;gemma2_trained_108;93.21806730000026;98.14814814814817;1;1.1170508861541748;1.7715910502842491;93.33333333333331
2025-08-14/12:31:25;zero;gemma2_trained_108;88.03582019999885;99.07407407407408;2;0.9472660422325134;1.2772397313799178;93.33333333333331
2025-08-14/12:36:00;zero;gemma2_trained_108;84.92489509999905;99.07407407407408;3;0.8460176587104797;1.0015835534958613;96.66666666666669
2025-08-14/12:41:01;zero;gemma2_trained_108;84.97466779999922;100.0;4;0.9412333965301514;0.8218392729759216;96.66666666666669
2025-08-14/12:46:22;zero;gemma2_trained_108;85.44939569999951;100.0;5;1.094416856765747;0.6806001765387398;100.0
2025-08-14/12:52:30;zero;gemma2_trained_108;87.44392810000318;100.0;6;1.3348277807235718;0.5729577708102408;96.66666666666669
2025-08-14/13:37:17;zero;gemma2_trained_108;519.3508144999996;100.0;7;1.4318538904190063;0.4991390841956041;96.66666666666669
2025-08-14/14:18:48;zero;gemma2_trained_108;487.7698120999994;100.0;8;1.4961416721343994;0.4450009965470859;96.66666666666669
2025-08-14/15:18:20;zero;gemma2_trained_108;586.6480620000002;100.0;9;1.558043360710144;0.4028435604912894;96.66666666666669
2025-08-14/17:54:07;zero;gemma2_trained_108;85.45368839999719;100.0;10;1.581234574317932;0.3702149489096233;93.33333333333331
2025-08-14/18:02:17;zero;gemma2_trained_108;85.15345360000356;100.0;11;1.6023274660110474;0.3418424613290018;96.66666666666669
2025-08-14/18:10:49;zero;gemma2_trained_108;84.81776969999919;100.0;12;1.6434794664382937;0.3199754602142742;96.66666666666669
2025-08-14/18:19:50;zero;gemma2_trained_108;85.06273430000147;100.0;13;1.680847406387329;0.30062717985320875;93.33333333333333
2025-08-14/16:17:42;zero;gemma3_1b_trained_108;107.72812010000052;94.44444444444444;1;1.5333834886550903;2.5065858023507253;90.0
2025-08-14/16:21:57;zero;gemma3_1b_trained_108;114.09515810000084;98.14814814814817;2;1.169316053390503;1.745176042829241;96.66666666666669
2025-08-14/16:26:30;zero;gemma3_1b_trained_108;107.6098791000004;98.14814814814817;3;1.0563453435897827;1.4153817948840914;100.0
2025-08-14/16:31:31;zero;gemma3_1b_trained_108;104.03105110000251;100.0;4;1.0225640535354614;1.203601828643254;100.0
2025-08-14/16:37:00;zero;gemma3_1b_trained_108;98.60550839999632;100.0;5;1.0660223960876465;1.0411603791373116;96.66666666666669
2025-08-14/16:42:49;zero;gemma3_1b_trained_108;98.15639660000306;100.0;6;1.1819313764572144;0.9159493786948067;90.0
2025-08-14/16:49:05;zero;gemma3_1b_trained_108;98.64932380000027;100.0;7;1.343647003173828;0.8030314095774476;96.66666666666669
2025-08-14/16:56:28;zero;gemma3_1b_trained_108;128.71781869999904;100.0;8;1.5233612060546875;0.7075220048427582;93.33333333333331
2025-08-14/17:03:34;zero;gemma3_1b_trained_108;98.4450508000009;100.0;9;1.617498755455017;0.628957350102682;96.66666666666669
2025-08-14/17:11:10;zero;gemma3_1b_trained_108;98.33518449999974;100.0;10;1.691834807395935;0.5674492239952087;100.0
2025-08-14/17:19:14;zero;gemma3_1b_trained_108;98.54843480000272;100.0;11;1.730323314666748;0.5195704477948028;93.33333333333331
2025-08-14/17:27:50;zero;gemma3_1b_trained_108;99.79426760000206;100.0;12;1.7540977001190186;0.4810920999873252;93.33333333333331
2025-08-14/17:37:03;zero;gemma3_1b_trained_108;98.90281540000069;100.0;13;1.780417561531067;0.4483428911848383;100.0
2025-08-14/18:56:27;zero;gemma3n_e2b_it_trained_108;527.2826314999984;87.03703703703704;1;1.4463459253311155;3.8202236720493854;80.0
2025-08-14/19:10:09;zero;gemma3n_e2b_it_trained_108;229.73966849999124;95.37037037037037;2;1.1776597499847412;2.4269111837659563;93.33333333333331
2025-08-14/19:19:50;zero;gemma3n_e2b_it_trained_108;227.16088519999903;98.14814814814817;3;1.098737359046936;1.8679125649588448;96.66666666666669
2025-08-14/19:29:00;zero;gemma3n_e2b_it_trained_108;224.67734550000023;99.07407407407408;4;1.1772080659866333;1.529969104698726;100.0
2025-08-14/19:47:17;zero;gemma3n_e2b_it_trained_108;225.99687030000496;99.07407407407408;5;1.369636058807373;1.2839525529316491;96.66666666666669
2025-08-14/19:58:18;zero;gemma3n_e2b_it_trained_108;227.3496305000008;100.0;6;1.651492953300476;1.092363348319417;96.66666666666669
2025-08-14/20:27:12;zero;gemma3n_e2b_it_trained_108;227.87867830000323;100.0;7;1.9416773319244385;0.948682036326856;96.66666666666669
2025-08-14/20:39:06;zero;gemma3n_e2b_it_trained_108;228.1405191999948;100.0;8;2.0574076175689697;0.8399967700242996;96.66666666666669
2025-08-14/20:51:36;zero;gemma3n_e2b_it_trained_108;225.54470999999467;100.0;9;2.0823707580566406;0.7551197920526777;100.0
2025-08-14/21:04:56;zero;gemma3n_e2b_it_trained_108;225.3830208;100.0;10;2.1200852394104004;0.6872625308377402;96.66666666666669
2025-08-14/21:19:03;zero;gemma3n_e2b_it_trained_108;226.45695929999783;100.0;11;2.2748191356658936;0.6302520369554495;96.66666666666669
2025-08-14/21:33:53;zero;gemma3n_e2b_it_trained_108;228.7435820000028;100.0;12;2.2670137882232666;0.5862140712283906;93.33333333333331
2025-08-14/21:49:23;zero;gemma3n_e2b_it_trained_108;225.7828970000046;99.07407407407408;13;2.287053108215332;0.5485133679358514;96.66666666666667

2025-08-14/22:01:31;zero;gemma2_trained_216;85.83117720000155;98.14814814814817;1;0.9687992930412292;1.4440737123842593;93.33333333333331
2025-08-14/22:06:36;zero;gemma2_trained_216;85.90031799999997;94.44444444444444;2;0.8498528003692627;1.04288469420539;86.66666666666667
2025-08-14/22:12:33;zero;gemma2_trained_216;84.26038759999938;100.0;3;0.9664461612701416;0.8394982682334052;100.0
2025-08-14/22:19:17;zero;gemma2_trained_216;84.29083209999953;99.07407407407408;4;1.2312079668045044;0.6848251775459007;93.33333333333331
2025-08-14/22:26:56;zero;gemma2_trained_216;84.7862277000022;100.0;5;1.4518496990203855;0.5702684393635502;93.33333333333331
2025-08-14/22:35:27;zero;gemma2_trained_216;84.69606169999315;99.07407407407408;6;1.5757192373275757;0.4911768458507679;93.33333333333331
2025-08-14/22:44:52;zero;gemma2_trained_216;85.16355489999842;100.0;7;1.6630254983901978;0.4347046588463758;93.33333333333331
2025-08-14/22:55:07;zero;gemma2_trained_216;84.702460600005;100.0;8;1.7170697450637815;0.3924985826015472;86.66666666666667
2025-08-14/23:06:14;zero;gemma2_trained_216;85.25136629999906;100.0;9;1.7516255378723145;0.3586422842716484;93.33333333333331
2025-08-14/23:18:14;zero;gemma2_trained_216;84.83241580000322;100.0;10;1.7754323482513428;0.3317990011639065;96.66666666666669
2025-08-14/23:31:04;zero;gemma2_trained_216;85.74453319999884;99.07407407407408;11;1.829455733299256;0.309632734818892;100.0
2025-08-14/23:45:04;zero;gemma2_trained_216;84.55072280000604;100.0;12;1.840198040008545;0.2915894157356686;93.33333333333331
2025-08-14/23:59:36;zero;gemma2_trained_216;84.97657799999433;100.0;13;1.874449372291565;0.2760457445753266;90.0
2025-08-15/00:04:09;zero;gemma3_1b_trained_216;115.0076534999971;94.44444444444444;1;1.1927908658981323;1.8779560018468784;93.33333333333331
2025-08-15/00:09:11;zero;gemma3_1b_trained_216;99.03430690000096;97.2222222222222;2;1.013036847114563;1.367548827771787;86.66666666666667
2025-08-15/00:15:04;zero;gemma3_1b_trained_216;99.2454349000036;99.07407407407408;3;1.0174994468688965;1.1312508759675202;96.66666666666669
